msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
82,1758630555607453004,1758630555853962921,246.51,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
83,1758631155811941296,1758631155900586864,88.646,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
84,1758631756026864837,1758631756338356838,311.492,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
85,1758632356246014589,1758632356386379459,140.365,462,486,2199,1146,3345,42,42,2199,0.22100954979536153,1713
86,1758632956456226709,1758632956502811914,46.585,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
87,1758633555647994036,1758633555885862923,237.869,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
88,1758634156853868727,1758634156867004838,13.136,462,486,1843,826,2669,32,32,1843,0.26370048833423765,1357
89,1758634756070441952,1758634756113584829,43.143,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
90,1758635356283458307,1758635356412638872,129.181,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
91,1758635956477480664,1758635956500420455,22.94,462,486,2047,1018,3065,38,38,2047,0.23742061553492916,1561
92,1758636555686363845,1758636555907013695,220.65,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
93,1758637155894107586,1758637156177448673,283.341,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
94,1758637756117952994,1758637756217652119,99.699,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
95,1758638356329515955,1758638356390931239,61.415,462,486,1971,954,2925,36,36,1971,0.2465753424657534,1485
96,1758638956521200499,1758638956586544704,65.344,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
97,1758639555707351856,1758639555832998161,125.646,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
98,1758640155910252245,1758640156149199477,238.947,462,486,2263,1222,3485,44,44,2263,0.2147591692443659,1777
99,1758640756131090982,1758640756341648506,210.558,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
100,1758641357347846988,1758641357658228200,310.381,463,487,2188,1106,3294,41,41,2188,0.22257769652650822,1701
101,1758641957543771187,1758641957852925657,309.154,467,491,1964,914,2878,35,35,1964,0.25,1473
102,1758642556724453774,1758642556771504261,47.05,467,491,2052,1018,3070,38,38,2052,0.23927875243664717,1561
103,1758643155933201077,1758643155984121877,50.921,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
104,1758643756154951555,1758643756288098415,133.147,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
105,1758644356374320072,1758644356560568310,186.248,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
106,1758644956584328043,1758644956880454691,296.127,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
107,1758645555790041407,1758645556050921029,260.88,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
108,1758646156006807126,1758646156071097763,64.291,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
109,1758646756224843453,1758646756316115432,91.272,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
110,1758647356433128450,1758647356446300832,13.172,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
111,1758647956628722791,1758647956922806306,294.084,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
112,1758648556820542755,1758648556841088757,20.546,467,491,1772,762,2534,30,30,1772,0.2770880361173815,1281
113,1758649156037377806,1758649156356906575,319.529,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
114,1758649756254939556,1758649756332494123,77.555,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
115,1758650356465645858,1758650356592938402,127.293,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
116,1758650955673835171,1758650955943928588,270.093,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
117,1758651555881039638,1758651555910407043,29.367,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
118,1758652156101091693,1758652156409550398,308.459,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
119,1758652756299138210,1758652756475446725,176.309,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
120,1758653356482307637,1758653356610288784,127.981,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
121,1758653955687169474,1758653955936017322,248.848,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
122,1758654555896569815,1758654556053096375,156.527,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
123,1758655156116926666,1758655156328024650,211.098,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
124,1758655756325131390,1758655756591171063,266.04,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
125,1758656356522297412,1758656356562697980,40.401,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
126,1758656956712247472,1758656956938361069,226.114,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
127,1758657555919558936,1758657555983585895,64.027,467,491,4737,3410,8147,79,79,4737,0.10365210048553937,4246
128,1758658756353650309,1758658756350852664,0.0,463,487,1332,760,2092,31,31,1332,0.3656156156156156,845
129,1758659356562383881,1758659356620489311,58.105,467,491,2468,916,3384,35,35,2468,0.19894651539708266,1977
130,1758659956772035772,1758659956772028701,0.0,467,491,1204,684,1888,28,28,1204,0.40780730897009965,713
131,1758660555983438881,1758660556238688332,255.249,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
132,1758661156200470636,1758661156427544881,227.074,467,491,2052,1018,3070,38,38,2052,0.23927875243664717,1561
133,1758661756399999062,1758661756603709134,203.71,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
134,1758662356583883479,1758662356874027424,290.144,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
135,1758662955790773733,1758662955963688659,172.915,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
136,1758663556004944989,1758663556248402709,243.458,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
137,1758664156221477148,1758664156464600119,243.123,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
138,1758664756419239714,1758664756740152025,320.912,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
139,1758665356608764807,1758665356707989426,99.225,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
140,1758665956791853816,1758665956976952893,185.099,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
141,1758666556005392149,1758666556326656220,321.264,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
142,1758667156217202177,1758667156297650313,80.448,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
143,1758667756432473870,1758667756560397777,127.924,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
144,1758668356643169179,1758668356831969389,188.8,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
145,1758668955849567271,1758668955873469869,23.903,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
146,1758669556068455892,1758669556145632603,77.177,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
147,1758670156286032160,1758670156414021051,127.989,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
148,1758670756491861541,1758670756687508897,195.647,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
149,1758671356691418673,1758671356894949918,203.531,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
150,1758671955885919400,1758671955939412410,53.493,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
