msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down
111,1758393605820335319,1758393605987478596,167.143,39,135,831,414,1245,5,4
112,1758394206203673851,1758394206497559965,293.886,38,134,830,414,1244,5,4
113,1758394805688260719,1758394805703098729,14.838,39,135,831,362,1193,5,3
114,1758395404891229847,1758395405505748924,614.519,39,135,1376,478,1854,6,5
115,1758396008715431878,1758396010197826834,1482.395,39,135,1921,542,2463,7,6
116,1758396605395194681,1758396605693981583,298.787,39,135,831,414,1245,5,4
117,1758397206891770890,1758397207082670965,190.9,39,135,831,414,1245,5,4
118,1758397806289918554,1758397808739476462,2449.558,39,135,1921,542,2463,7,6
119,1758398404927424682,1758398404984882008,57.457,39,135,831,414,1245,5,4
120,1758399004198347193,1758399004292412172,94.065,38,134,830,414,1244,5,4
121,1758399604492488341,1758399604678328726,185.84,39,135,831,414,1245,5,4
122,1758400206877026271,1758400206892476382,15.45,39,135,831,362,1193,5,3
123,1758400806112832109,1758400806139777316,26.945,38,134,830,362,1192,5,3
124,1758401407356970637,1758401407540788331,183.818,39,135,831,362,1193,5,3
125,1758402004761191099,1758402004963634215,202.443,39,135,831,362,1193,5,3
126,1758402604159847479,1758402607181851387,3022.004,38,134,2462,606,3068,8,7
127,1758403207366328272,1758403207515402342,149.074,39,135,831,362,1193,5,3
128,1758403804702879607,1758403804717761952,14.882,39,136,832,362,1194,5,3
129,1758404404905977351,1758404405218811017,312.834,39,136,832,362,1194,5,3
130,1758405005428474759,1758405005550313460,121.839,39,136,832,362,1194,5,3
131,1758405604749258883,1758405605015989518,266.731,39,136,832,414,1246,5,4
132,1758406208237021579,1758406208451050061,214.028,38,135,831,414,1245,5,4
133,1758406807635516864,1758406808152738820,517.222,39,136,1378,426,1804,6,4
134,1758407406364101433,1758407406634690504,270.589,39,136,832,414,1246,5,4
135,1758408004842111621,1758408004927118316,85.007,39,136,832,414,1246,5,4
136,1758408604131672689,1758408604344150057,212.477,38,135,831,362,1193,5,3
137,1758409205532040079,1758409205722824530,190.784,39,136,832,414,1246,5,4
138,1758409804918102527,1758409805188156465,270.054,39,136,832,414,1246,5,4
139,1758410407402893777,1758410407704375962,301.482,39,136,832,414,1246,5,4
140,1758411004912622176,1758411006037895294,1125.273,39,136,1924,490,2414,7,5
141,1758411607231816089,1758411607297670998,65.855,38,135,831,414,1245,5,4
142,1758412204484785534,1758412204776350414,291.565,39,136,832,362,1194,5,3
143,1758412803978855039,1758412805994559917,2015.705,39,136,1924,542,2466,7,6
144,1758413404209109418,1758413405426542626,1217.433,38,135,1376,426,1802,6,4
145,1758414004634967702,1758414004952320417,317.353,39,136,832,414,1246,5,4
146,1758414605162160967,1758414605176805773,14.645,38,135,831,362,1193,5,3
147,1758415208376588862,1758415208945928093,569.339,39,136,1378,478,1856,6,5
148,1758415806163875822,1758415806397075267,233.199,38,135,831,414,1245,5,4
149,1758416404603099594,1758416404868815528,265.716,39,136,832,362,1194,5,3
150,1758417005078736592,1758417005346764744,268.028,38,135,831,414,1245,5,4
151,1758417604541111323,1758417604725274206,184.163,39,136,832,362,1194,5,3
152,1758418204926208316,1758418205855576508,929.368,39,136,1378,426,1804,6,4
153,1758418805069942812,1758418805131576961,61.634,38,135,831,414,1245,5,4
154,1758419406345227730,1758419406456373348,111.146,39,136,832,414,1246,5,4
155,1758420005662801673,1758420005809841721,147.04,39,136,832,414,1246,5,4
156,1758420607023805626,1758420607204913787,181.108,38,135,831,362,1193,5,3
157,1758421210409318134,1758421210665647958,256.33,39,136,832,414,1246,5,4
158,1758421806850356181,1758421807118812478,268.456,39,136,832,362,1194,5,3
159,1758422404328592073,1758422404650095820,321.504,39,136,832,414,1246,5,4
160,1758423004857339637,1758423004873046334,15.707,39,136,832,362,1194,5,3
161,1758423605092511010,1758423605290754564,198.244,38,135,831,414,1245,5,4
162,1758424204475242113,1758424206755072085,2279.83,39,136,2470,606,3076,8,7
163,1758424804955940901,1758424804996340306,40.399,39,136,832,362,1194,5,3
164,1758425408212587284,1758425408238616892,26.03,38,135,831,362,1193,5,3
165,1758426004442284097,1758426005509857698,1067.574,39,136,1378,426,1804,6,4
166,1758426606706944630,1758426606822143204,115.199,39,136,832,362,1194,5,3
167,1758427205037096657,1758427205236857131,199.76,38,135,831,362,1193,5,3
168,1758427810452994004,1758427810756454186,303.46,39,136,832,414,1246,5,4
169,1758428406951493678,1758428407727741634,776.248,39,136,1378,478,1856,6,5
170,1758429004934318565,1758429005189576204,255.258,39,136,832,362,1194,5,3
171,1758429606381085315,1758429606447775706,66.69,39,136,832,362,1194,5,3
172,1758430204632003995,1758430204731094045,99.09,39,136,832,414,1246,5,4
173,1758430808923265011,1758430809191862985,268.598,39,136,832,414,1246,5,4
174,1758431404403439565,1758431404415810104,12.371,39,136,832,362,1194,5,3
175,1758432005617547911,1758432005741866381,124.318,39,136,832,414,1246,5,4
176,1758432604945490719,1758432604960965317,15.475,39,136,832,362,1194,5,3
177,1758433208183201009,1758433208768007693,584.807,38,135,1376,426,1802,6,4
178,1758433811969228330,1758433811984454480,15.226,39,136,832,362,1194,5,3
179,1758434405195388118,1758434405441153654,245.766,38,135,831,362,1193,5,3
180,1758435004642889625,1758435004799789821,156.9,39,136,832,414,1246,5,4
181,1758435605015826800,1758435605285921424,270.095,38,135,831,414,1245,5,4
182,1758436207498580527,1758436207711966941,213.386,39,136,832,362,1194,5,3
183,1758436806900581902,1758436807113122736,212.541,39,136,832,414,1246,5,4
184,1758437404322583034,1758437404350488404,27.905,39,136,832,362,1194,5,3
185,1758438007552128157,1758438007818246829,266.119,39,136,832,414,1246,5,4
186,1758438607032643693,1758438607286366672,253.723,38,135,831,414,1245,5,4
187,1758439207493141097,1758439207665965685,172.825,39,136,832,414,1246,5,4
188,1758439807845855165,1758439808084142063,238.287,39,136,832,414,1246,5,4
189,1758440404293871652,1758440404409216009,115.344,39,136,832,414,1246,5,4
190,1758441004608241113,1758441004680440054,72.199,39,136,832,414,1246,5,4
191,1758441604878157090,1758441605179796379,301.639,39,136,832,414,1246,5,4
192,1758442206392351454,1758442206648777398,256.426,39,136,832,362,1194,5,3
193,1758442805830572197,1758442806295757947,465.186,39,136,1378,426,1804,6,4
194,1758443407500829357,1758443407770579457,269.75,39,136,832,414,1246,5,4
195,1758444004981879671,1758444005212603918,230.724,39,136,832,414,1246,5,4
196,1758444605396973424,1758444605483908755,86.935,39,136,832,362,1194,5,3
197,1758445207667294198,1758445207846713936,179.42,39,136,832,362,1194,5,3
198,1758445808058342429,1758445808083157325,24.815,38,135,831,362,1193,5,3
199,1758446407293535171,1758446407572735944,279.201,39,136,832,362,1194,5,3
200,1758447007769506244,1758447007884981842,115.476,39,136,832,414,1246,5,4
201,1758447605103755638,1758447606418961975,1315.206,38,135,1921,542,2463,7,6
202,1758448204628822768,1758448204817051711,188.229,39,136,832,414,1246,5,4
203,1758448805022567342,1758448805147623475,125.056,38,135,831,362,1193,5,3
204,1758449407352079685,1758449408490727593,1138.648,39,136,1378,478,1856,6,5
205,1758450004689086060,1758450004762787045,73.701,39,136,832,362,1194,5,3
206,1758450607970870241,1758450609331504909,1360.635,39,136,1378,478,1856,6,5
207,1758451214543953274,1758451214830701836,286.749,39,136,832,414,1246,5,4
208,1758451805034896758,1758451805987017718,952.121,38,135,1376,478,1854,6,5
209,1758452406181777222,1758452406287183060,105.406,38,135,831,362,1193,5,3
210,1758453004477015541,1758453004724744869,247.729,39,136,832,414,1246,5,4
211,1758453606929260986,1758453607061210847,131.95,39,136,832,362,1194,5,3
212,1758454205272826405,1758454205456582816,183.756,39,136,832,414,1246,5,4
213,1758454804661992741,1758454804823990155,161.997,39,136,832,414,1246,5,4
214,1758455405043896054,1758455405099859419,55.963,38,135,831,362,1193,5,3
215,1758456017284754020,1758456017567130927,282.377,39,136,832,414,1246,5,4
216,1758456604753687078,1758456604908623940,154.937,39,136,832,362,1194,5,3
217,1758457205131284022,1758457205178739299,47.455,38,135,831,414,1245,5,4
218,1758457805392811676,1758457805574188844,181.377,39,136,832,362,1194,5,3
219,1758458404779123332,1758458404976831896,197.709,39,136,832,362,1194,5,3
220,1758459005199060798,1758459005471582172,272.521,38,135,831,414,1245,5,4
221,1758459604661621789,1758459604676091470,14.47,39,136,832,362,1194,5,3
222,1758460206867184394,1758460206881573954,14.39,39,136,832,362,1194,5,3
223,1758460806102298130,1758460806624895863,522.598,38,135,1376,478,1854,6,5
224,1758461405827841460,1758461406132776206,304.935,39,136,832,414,1246,5,4
225,1758462007318199963,1758462007508587834,190.388,39,136,832,414,1246,5,4
226,1758462607694063753,1758462608814163726,1120.1,39,136,1924,490,2414,7,5
227,1758463206025724136,1758463206283071153,257.347,38,135,831,362,1193,5,3
228,1758463808493609772,1758463808868298786,374.689,39,136,832,414,1246,5,4
229,1758464411089970311,1758464411272925716,182.955,38,135,831,362,1193,5,3
230,1758465004457372180,1758465004514820886,57.449,39,136,832,414,1246,5,4
231,1758465604701121091,1758465604962687674,261.567,39,136,832,362,1194,5,3
232,1758466235193830686,1758466235514636100,320.805,38,135,831,414,1245,5,4
233,1758466806713158033,1758466806728946935,15.789,39,136,832,362,1194,5,3
234,1758467405934100397,1758467406081096552,146.996,39,136,832,362,1194,5,3
235,1758468005296211999,1758468005485194027,188.982,39,136,832,414,1246,5,4
236,1758468617676614872,1758468617800405481,123.791,39,136,832,362,1194,5,3
237,1758469205004603622,1758469206097992809,1093.389,38,135,1921,542,2463,7,6
238,1758469805310080996,1758469805493189778,183.109,39,136,832,362,1194,5,3
239,1758470408692397526,1758470408721401611,29.004,39,136,832,362,1194,5,3
240,1758471004924812263,1758471006898228935,1973.417,39,136,1924,542,2466,7,6
241,1758471607119896390,1758471607345412422,225.516,38,135,831,414,1245,5,4
242,1758472206555132318,1758472206811199583,256.067,39,136,832,414,1246,5,4
243,1758472810007825064,1758472810806274046,798.449,38,135,1376,426,1802,6,4
244,1758473416029986756,1758473416318175132,288.188,38,135,831,414,1245,5,4
245,1758474008502438374,1758474008785220307,282.782,39,136,832,362,1194,5,3
246,1758474606989027434,1758474607223788392,234.761,39,136,832,414,1246,5,4
247,1758475204435244727,1758475204529834746,94.59,39,136,832,362,1194,5,3
248,1758475804736118767,1758475804775821590,39.703,39,136,832,414,1246,5,4
249,1758476406993350109,1758476408134569666,1141.22,39,136,1924,542,2466,7,6
250,1758477006348740564,1758477006439586852,90.846,39,136,832,414,1246,5,4
251,1758477615625673078,1758477615863713854,238.041,39,136,832,362,1194,5,3
252,1758478205075988618,1758478205090632434,14.644,38,135,831,362,1193,5,3
253,1758478806292995184,1758478806507817305,214.822,39,136,832,414,1246,5,4
254,1758479417702801227,1758479417717940992,15.14,39,136,832,362,1194,5,3
255,1758480019920708053,1758480019936240892,15.533,39,136,832,362,1194,5,3
256,1758480608152488962,1758480608310918295,158.429,38,135,831,414,1245,5,4
257,1758481207521118605,1758481207768650317,247.532,39,136,832,414,1246,5,4
258,1758481804979194826,1758481805519791272,540.596,39,136,1378,426,1804,6,4
259,1758482407718652450,1758482407742728313,24.076,39,136,832,362,1194,5,3
260,1758483006948552792,1758483007143829343,195.277,39,136,832,362,1194,5,3
261,1758483607354499672,1758483607435482462,80.983,39,136,832,414,1246,5,4
262,1758484204643607352,1758484204705198988,61.592,39,136,832,362,1194,5,3
263,1758484804911437662,1758484805220291791,308.854,39,136,832,414,1246,5,4
264,1758485404411208936,1758485404495049663,83.841,39,136,832,414,1246,5,4
265,1758486004687432153,1758486007273072102,2585.64,39,136,2470,606,3076,8,7
266,1758486604483724565,1758486604498673117,14.949,39,136,832,414,1246,5,4
267,1758487206709207726,1758487206724201900,14.994,39,136,832,362,1194,5,3
268,1758487804932136276,1758487806139169469,1207.033,39,136,1378,426,1804,6,4
269,1758488405337285283,1758488405352326200,15.041,39,136,832,362,1194,5,3
270,1758489006544717698,1758489006833494031,288.776,39,136,832,414,1246,5,4
271,1758489610049380555,1758489610127866369,78.486,38,135,831,414,1245,5,4
272,1758490205335355124,1758490205503915857,168.561,39,136,832,414,1246,5,4
273,1758490806711754723,1758490807770484955,1058.73,39,136,1378,478,1856,6,5
274,1758491407982636101,1758491408294324720,311.689,39,136,832,414,1246,5,4
275,1758492004478467726,1758492004709535002,231.067,39,136,832,414,1246,5,4
276,1758492604904188616,1758492605202709603,298.521,39,136,832,362,1194,5,3
277,1758493216419584144,1758493216558644320,139.06,39,136,832,414,1246,5,4
278,1758493807760513116,1758493808077492801,316.98,39,136,832,414,1246,5,4
279,1758494405261182280,1758494406729727866,1468.546,38,135,1921,542,2463,7,6
280,1758495004933660009,1758495005180719009,247.059,39,136,832,414,1246,5,4
281,1758495617400890694,1758495617603609219,202.719,39,136,832,414,1246,5,4
282,1758496207809496652,1758496207824949549,15.453,39,136,832,362,1194,5,3
283,1758496805046319807,1758496805140010976,93.691,38,135,831,414,1245,5,4
284,1758497404323547434,1758497406181606672,1858.059,39,136,1924,542,2466,7,6
285,1758498004393077836,1758498007526066484,3132.989,39,136,1924,542,2466,7,6
286,1758498008537235345,1758498008552728388,15.493,39,136,1065,517,1582,8,5
287,1758498607741089510,1758498607894222978,153.133,39,136,832,414,1246,5,4
288,1758499205108808945,1758499205150040876,41.232,38,135,831,362,1193,5,3
289,1758499804351371071,1758499804555806932,204.436,39,136,832,362,1194,5,3
290,1758500407753637155,1758500407769247084,15.61,39,136,832,362,1194,5,3
291,1758501006974697509,1758501007251170285,276.473,39,136,832,414,1246,5,4
292,1758501605462418205,1758501605650735880,188.318,39,136,832,362,1194,5,3
293,1758502205859438684,1758502205980176509,120.738,39,136,832,362,1194,5,3
294,1758502807178003206,1758502807216288634,38.285,38,135,831,414,1245,5,4
295,1758503417409310434,1758503418418268688,1008.958,39,136,1924,542,2466,7,6
296,1758504007605186389,1758504007629354787,24.168,39,136,832,362,1194,5,3
297,1758504605817032205,1758504607574193881,1757.162,39,136,1924,542,2466,7,6
298,1758505206781988470,1758505206797312138,15.324,39,136,832,362,1194,5,3
299,1758505817017409426,1758505817197115387,179.706,38,135,831,362,1193,5,3
300,1758506405381788365,1758506405397320695,15.532,39,136,832,362,1194,5,3
301,1758507007583393661,1758507007655198379,71.805,39,136,832,414,1246,5,4
302,1758507604840038346,1758507604969235512,129.197,39,136,832,362,1194,5,3
303,1758508205183344986,1758508205222714935,39.37,38,135,831,414,1245,5,4
304,1758508805418481946,1758508805655328462,236.847,39,136,832,414,1246,5,4
305,1758509405852022949,1758509406149345647,297.323,39,136,832,362,1194,5,3
306,1758510008364166019,1758510008528424540,164.259,39,136,832,362,1194,5,3
307,1758510604736159845,1758510606101002494,1364.843,39,136,1924,542,2466,7,6
308,1758511207309812398,1758511207454175113,144.363,39,136,832,414,1246,5,4
309,1758511804652650718,1758511804845603823,192.953,39,136,832,362,1194,5,3
310,1758512414064917130,1758512414176423930,111.507,38,135,831,362,1193,5,3
311,1758513006386126804,1758513006804917363,418.791,39,136,1378,478,1856,6,5
312,1758513607010410037,1758513607230420232,220.01,38,135,831,414,1245,5,4
313,1758514206440484748,1758514206673659669,233.175,39,136,832,414,1246,5,4
314,1758514804872133266,1758514805097288095,225.155,39,136,832,414,1246,5,4
315,1758515404311519108,1758515404320347845,8.829,39,136,832,362,1194,5,3
316,1758515405332380237,1758515405346993557,14.613,39,136,1089,687,1776,9,7
317,1758516004561045629,1758516004719704193,158.659,39,136,832,466,1298,5,5
318,1758516608906575036,1758516609484938082,578.363,39,136,1378,426,1804,6,4
319,1758517210693834842,1758517210969760851,275.926,39,136,832,414,1246,5,4
320,1758517815186682196,1758517815507400669,320.718,38,135,831,414,1245,5,4
321,1758518415696668476,1758518415761500404,64.832,39,136,832,414,1246,5,4
322,1758519004963072360,1758519004997482221,34.41,39,136,832,362,1194,5,3
323,1758519605216528831,1758519605240865860,24.337,38,135,831,362,1193,5,3
324,1758520204447597606,1758520204625400036,177.802,39,136,832,414,1246,5,4
325,1758520808827244139,1758520809027393751,200.15,39,136,832,414,1246,5,4
326,1758521405244936639,1758521405465158070,220.221,38,135,831,362,1193,5,3
327,1758522006655089791,1758522006701572147,46.482,39,136,832,414,1246,5,4
328,1758522604888382089,1758522605116213377,227.831,39,136,832,414,1246,5,4
329,1758523207320527737,1758523209178103162,1857.575,39,136,2470,606,3076,8,7
330,1758523808366603950,1758523808543414092,176.81,39,136,832,362,1194,5,3
331,1758524407731582733,1758524407859570991,127.988,39,136,832,414,1246,5,4
332,1758525005071263878,1758525005388745049,317.481,38,135,831,362,1193,5,3
333,1758525608594943946,1758525608611509414,16.565,39,136,832,362,1194,5,3
334,1758526204812399909,1758526206721260726,1908.861,39,136,1924,542,2466,7,6
335,1758526804921359567,1758526804937092409,15.733,39,136,832,362,1194,5,3
336,1758527405158317288,1758527405379127498,220.81,38,135,831,414,1245,5,4
337,1758528008585325260,1758528008858896594,273.571,39,136,832,414,1246,5,4
338,1758528607074932273,1758528607253996637,179.064,38,135,831,414,1245,5,4
339,1758529208445956175,1758529208720968868,275.013,39,136,832,414,1246,5,4
340,1758529804919258325,1758529805200621905,281.364,39,136,832,414,1246,5,4
341,1758530405411355490,1758530405540001828,128.646,39,136,832,414,1246,5,4
342,1758531006725050715,1758531006768443647,43.393,39,136,832,414,1246,5,4
343,1758531606965968303,1758531607193257553,227.289,39,136,832,414,1246,5,4
344,1758532205388087949,1758532205485418491,97.331,39,136,832,414,1246,5,4
345,1758532807681339637,1758532807854875059,173.535,39,136,832,362,1194,5,3
346,1758533405072134904,1758533405924610030,852.475,38,135,1921,490,2411,7,5
347,1758534005143517225,1758534005158202497,14.685,38,135,831,362,1193,5,3
348,1758534606370649364,1758534606383387228,12.738,39,136,832,414,1246,5,4
349,1758535204582277078,1758535204597767260,15.49,39,136,832,362,1194,5,3
350,1758535804790853917,1758535804930091080,139.237,42,139,839,414,1253,5,4
351,1758536406149271987,1758536406252846899,103.575,38,135,831,414,1245,5,4
352,1758537005464266452,1758537005695645332,231.379,39,136,832,414,1246,5,4
353,1758537604906705737,1758537605204927459,298.222,39,136,832,362,1194,5,3
354,1758538207401036464,1758538207665905947,264.869,39,136,832,414,1246,5,4
355,1758538804865852575,1758538805052966600,187.114,39,136,832,414,1246,5,4
356,1758539405268249629,1758539405369304956,101.055,38,135,831,362,1193,5,3
357,1758540006578753527,1758540006618226869,39.473,39,136,832,414,1246,5,4
358,1758540604826572236,1758540604861681121,35.109,39,136,832,362,1194,5,3
359,1758541205085231493,1758541205346955763,261.724,38,135,831,414,1245,5,4
360,1758541805540758900,1758541805846772968,306.014,39,136,832,414,1246,5,4
361,1758542405066091194,1758542405210958211,144.867,38,135,831,362,1193,5,3
362,1758543005423265262,1758543005499473894,76.209,39,136,832,414,1246,5,4
363,1758543604709022646,1758543604951620840,242.598,42,139,839,414,1253,5,4
364,1758544205137765304,1758544205209185134,71.42,41,138,838,362,1200,5,3
365,1758544805394514569,1758544805441538239,47.024,42,139,839,414,1253,5,4
366,1758545404626367058,1758545404855825845,229.459,42,139,839,414,1253,5,4
367,1758546005062096857,1758546005077505447,15.409,41,138,838,362,1200,5,3
368,1758546605288609749,1758546605422144938,133.535,42,139,839,414,1253,5,4
